versao;exec1;exec2;exec3;exec4;exec5
1;42,552329;42,527547;42,569205;42,719942;42,629661
2;30,260765;30,474989;30,433610;30,528414;30,300446
3;112,256426;113,722060;114,603426;120,742033;120,815718
4;96,055267;104,464812;95,780823;102,643506;106,859457
5;23,196648;23,120887;23,248047;23,194902;23,210491
6;13,462599;13,578708;13,486743;13,435042;13,590279
