versao;exec1;exec2;exec3;exec4;exec5
1;20,5363;23,7648;24,3196;22,8682;20,3147
2;17,7997;17,334;17,9904;18,2721;18,0189
3;142,335;144,016;142,461;157,029;146,481
4;121,799;132,324;118,814;121,975;134,948
5;12,1006;11,9065;10,8273;10,8176;10,8255
6;1,86199;2,13858;2,14646;1,42077;2,18018
