versao;exec1;exec2;exec3;exec4;exec5
1;219,855;264,101;271,551;250,61;222,939
2;182,592;174,762;183,262;183,901;183,541
3;411,96;410,48;407,977;432,96;403,634
4;357,037;374,059;343,846;349,281;378,71
5;173,481;176,052;134,843;135,467;136,395
6;57,2955;65,4145;65,5153;40,8802;64,9854
