versao;exec1;exec2;exec3;exec4;exec5
1;13,0655;16,2984;16,8459;15,368;12,8303
2;12,4869;11,9836;12,6473;12,9123;12,6991
3;122,626;124,05;122,34;135,831;125,27
4;104,935;113,983;101,998;103,954;116,187
5;8,02803;7,84724;6,74571;6,74534;6,7505
6;-0,501598;-0,245393;-0,221367;-0,93798;-0,205825
