versao;exec1;exec2;exec3;exec4;exec5
1;5,351605;5,356858;5,399448;5,361300;5,410043
2;4,672587;4,318332;4,297235;4,309866;4,361021
3;9,380575;8,758591;8,821129;9,390920;8,981170
4;8,819196;8,103248;8,145302;8,165997;8,087379
5;3,739255;3,390888;3,347012;3,424296;3,329925
6;2,110646;1,816663;1,812825;1,818707;1,790129
