versao;exec1;exec2;exec3;exec4;exec5
1;-1,16479;-1,16594;-1,17521;-1,1669;-1,17751
2;-1,017;-0,939898;-0,935306;-0,938055;-0,949189
3;5,99552;-1,90633;5,09303;5,38517;4,09144
4;-1,91952;-1,7637;-1,77285;5,30046;-1,76024
5;-0,81386;-0,738037;-0,728487;-0,745308;-0,724768
6;-0,459388;-0,395402;-0,394567;-0,395847;-0,389627
