versao;exec1;exec2;exec3;exec4;exec5
1;4329,31;4101,32;4197,93;4213,34;4288,27
2;3749,6;3797,53;3664,45;3668,59;3656,77
3;32631,9;52400;39491;13690,2;13663,2
5;1150,75;1131,47;1133,77;1132,15;1136,66
6;355,116;353,565;355,306;355,895;352,193
