versao;exec1;exec2;exec3;exec4;exec5
1;4,774492;4,576773;4,573436;4,603365;4,594979
2;3,458565;3,378073;3,352622;3,447484;3,429920
3;8,090637;8,717704;7,919421;8,053586;8,246245
4;7,828899;7,566224;7,626367;7,842714;7,420085
5;3,137215;3,017409;3,010729;3,040036;3,036154
6;1,781010;1,793526;1,755958;1,804625;1,770802
