versao;exec1;exec2;exec3;exec4;exec5
1;13,8546;15,5761;17,0494;14,4004;15,9984
2;17,5906;12,9392;14,1952;11,9875;13,671
3;131,671;142,006;128,477;139,849;121,325
4;138,41;121,924;100,582;127,708;93,3071
5;10,2366;10,4375;11,2661;10,4462;10,4505
6;2,93394;1,94892;2,00729;1,90046;1,77854
