versao;exec1;exec2;exec3;exec4;exec5
1;214,503;218,769;265,595;217,83;220,118
2;209,078;177,566;171,913;163,698;177,772
3;387,816;398,842;380,859;401,407;382,843
4;383,724;355,641;314,172;355,319;326,597
5;131,378;133,425;158,399;126,018;133,989
6;98,6077;65,3047;65,5853;65,8176;57,5648
