versao;exec1;exec2;exec3;exec4;exec5
1;5,93004;7,59849;9,15987;6,46616;8,01147
2;11,8265;7,16003;8,43577;6,19943;7,87931
3;111,716;120,911;108,941;118,906;102,99
4;118,949;104,16;84,552;109,097;78,6251
5;5,93124;6,13881;6,94488;6,1417;6,12875
6;0,440893;-0,54766;-0,49101;-0,605638;-0,712395
