versao;exec1;exec2;exec3;exec4;exec5
1;2,69337;2,99219;2,64147;1,97149;2,72016
2;;;4,51077;2,80547;3,01548
3;14,3862;15,0661;15,7807;15,8125;15,2644
4;12,316;12,0678;12,0279;7,86816;8,60389
5;;;;;
6;;;;;
4;16,1013;10,7694;14,1643;9,89925;7,91561
