versao;exec1;exec2;exec3;exec4;exec5
1;-0,239968;0,076426;-0,354253;-0,858259;-0,201525
2;-2,43501;-2,36658;1,8582;0,408663;0,755381
3;8,49167;9,65022;11,0134;10,6194;9,87477
4;7,36299;7,56793;7,19428;3,0995;4,02817
5;-1,79629;-1,79722;-1,7969;-1,78535;-1,79471
6;-0,975112;-0,960321;-0,979954;-0,955719;-0,961726
4;13,0101;7,40688;10,8526;6,68486;4,72452
