versao;exec1;exec2;exec3;exec4;exec5
1;7,8122;9,08917;7,87816;5,98174;7,97043
2;;;7,7312;6,39856;7,66684
3;12,6234;14,8739;15,6549;16,0407;14,7324
4;11,9575;11,5781;12,1772;7,93039;8,22235
5;;;;;
6;;;;;
4;12,4388;9,75953;12,3634;8,80971;7,10189
