versao;exec1;exec2;exec3;exec4;exec5
1;1015,82;1013,44;1023,3;1017,27;1020,34
2;779,675;772,237;770,547;760,006;769,915
3;1305,2;1471,96;1493,73;1438,43;1435,17
4;1078,03;1094,47;1054,88;1051,88;1069,83
5;479,728;488,185;489,255;480,889;485,268
6;252,07;251,735;253,144;255,645;258,991
