versao;exec1;exec2;exec3;exec4;exec5
1;114,189;108,975;113,192;110,893;101,764
2;126,351;100,141;96,656;94,7019;95,9459
3;1303,25;1325,23;1351,85;1335,38;1327,92
4;1268,37;1260,03;1249,07;1248,81;1244,17
5;64,8358;65,1644;66,6334;64,1097;66,1245
6;1,02261;1,39008;0,85067;1,33054;2,27752
