versao;exec1;exec2;exec3;exec4;exec5
1;308,884;303,138;308,339;305,739;294,342
2;283,754;254,407;250,515;248,333;249,619
3;1593,97;1700,86;1732,25;1695,97;1689,11
4;1523,54;1527,34;1495,14;1493,07;1505,11
5;138,305;138,556;140,08;137,524;139,553
6;39,9998;40,4121;39,8107;40,3298;41,311
