versao;exec1;exec2;exec3;exec4;exec5
1;125,313;110,133;114,427;117,892;115,662
2;85,9783;87,9318;86,9144;88,1088;88,7434
3;173,836;170,961;170,518;168,687;175,841
4;160,465;159,149;158,732;155,851;157,467
5;63,5162;67,6608;68,9159;67,7091;65,068
6;31,5827;33,9202;33,057;34,1772;34,4471
