versao;exec1;exec2;exec3;exec4;exec5
1;2484,34;2533,47;2519,09;2552,42;2446,74
2;1816,66;1776,05;1795,48;1786,53;1827,84
3;2798,35;2781,4;2805,77;2814,23;2852,03
4;2644,88;2549,81;2550,61;2546,21;2546,56
5;1312,85;1291,02;1300,01;1272,96;1257,59
6;720,858;713,228;717,106;714,885;703,347
