versao;exec1;exec2;exec3;exec4;exec5
1;283,503;296,751;290,85;303,057;286,082
2;248,875;241,736;240,162;238,603;249,655
3;1234,26;1229,5;1242,6;1259,1;1256,57
4;1156,73;1109,74;1114,56;1111,83;1113,98
5;105,104;107,854;107,915;106,523;107,496
6;29,9235;30,172;30,7619;30,5675;30,3998
