versao;exec1;exec2;exec3;exec4;exec5
1;218,315;231,1;225,307;237,109;220,842
2;200,617;193,515;192,452;190,357;200,958
3;1073,26;1068,14;1080,17;1095,4;1087,88
4;1001,11;962,628;967,267;965,303;966,731
5;73,3441;75,2192;74,4558;73,2379;73,7668
6;10,7651;10,8856;11,4168;10,9032;10,9309
