versao;exec1;exec2;exec3;exec4;exec5
1;2315,67;2306,33;2314,78;2325,37;2322,49
2;1807,92;1854,76;1850,13;1846,67;1849,1
3;2751,57;2733,75;2803,38;2821,71;2802,26
4;2541,53;2569,55;2527;2553,99;2521,65
5;1311,01;1327,4;1258,12;1302,65;1281,55
6;732,323;726,605;732,595;718,732;722,596
