versao;exec1;exec2;exec3;exec4;exec5
1;258,926;254,993;258,691;261,935;260,364
2;214,683;221,955;220,716;224,324;222,381
3;1041,5;1038,84;1062,29;1089,97;1065,05
4;967,857;979,032;962,757;965,527;961,434
5;74,8842;75,6087;74,7315;80,3342;77,2685
6;14,8276;14,2049;13,7999;14,1115;13,5587
