versao;exec1;exec2;exec3;exec4;exec5
1;21,2869;22,4278;21,5978;21,3756;20,8103
2;20,1654;18,2484;16,1087;14,6877;15,8533
3;160,008;130,714;128,621;112,693;110,393
4;116,948;115,551;124,956;125,682;105,497
5;12,5903;11,6131;11,5124;10,7734;11,1846
6;2,44392;1,76951;1,84542;1,7757;1,61352
