versao;exec1;exec2;exec3;exec4;exec5
1;152,384;164,519;164,761;161,842;141,55
2;131,738;128,59;111,284;114,511;125,65
3;237,202;227,584;237,312;224,461;221,88
4;212,046;205,363;222,721;217,803;211,717
5;92,9925;89,8875;98,1567;82,2926;86,4554
6;28,6096;32,7389;32,8401;32,712;32,7878
