versao;exec1;exec2;exec3;exec4;exec5
1;44,1976;31,1456;32,4316;33,2241;32,556
2;29,3569;30,0561;29,8038;30,0462;30,2574
3;191,643;188,539;189,467;187,315;193,834
4;182,109;180,015;182,183;178,914;185,249
5;16,2005;16,6631;18,1967;15,9129;16,3756
6;5,25437;5,42048;5,35474;7,69847;5,51064
