versao;exec1;exec2;exec3;exec4;exec5
1;23,8817;12,2672;13,1846;14,0659;13,3475
2;13,4984;14,2038;13,9146;14,1855;14,3745
3;157,064;153,468;154,672;153,09;159,127
4;150,086;147,849;149,897;146,518;154,052
5;6,7586;7,20944;8,68984;6,52109;6,91389
6;0,232573;0,420523;0,355672;2,56048;0,490431
