versao;exec1;exec2;exec3;exec4;exec5
1;243,438;237,333;237,068;241,291;236,247
2;210,719;208,742;204,744;198,275;207,175
3;1288,49;1334,15;1342,13;1310,46;1272,31
4;1299,69;1270,75;1256,03;1315,4;1216,91
5;101,992;100,319;101,78;105,48;100,769
6;23,1;23,5877;23,6993;22,6045;24,6934
